alerta_codigo,fecha_raw,fecha,region,nombre,ambito,comuna,estado,superficie_ha,url_poligono,url_ficha,url_archivos,utm_operativas,utm_investigadas,geo_operativas,geo_investigadas,lat_operativa,lon_operativa,meteo_temperatura,meteo_nubosidad,meteo_hum_relativa,meteo_vel_viento,meteo_pendiente,meteo_exposicion,meteo_dir_viento,meteo_topografia,meteo_estacion,meteo_fecha
,24-dic-2025 18:50,,Biobío,229 - LOS MAITENES,CONAF,Cañete,Controlado,0.5,,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=796589158,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=796589158,638052 E 5795084 S 18H,,"37°58'53"" S 73°25'41"" O",,-37.981389,-73.428056,ºC,,%,km/h,%,,,,,
,24-dic-2025 18:42,,Valparaíso,215 - INGENIERO HYATT,CONAF,Valparaíso,Extinguido,0.02,,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=796588654,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=796588654,253701 E 6340582 S 19H,,"33°02'44"" S 71°38'15"" O",,-33.045444,-71.637556,24.4 ºC,0/8,43.8 %,7.3 km/h,100 %,W,N,Abrupta,KESTREL PALMA 37,24-dic-2025 17:16
,24-dic-2025 18:13,,Valparaíso,213 - FUNDO MIRAMAR,CONAF,San Antonio,Extinguido,0.3,,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=796579965,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=796579965,259864 E 6280178 S 19H,,"33°35'28"" S 71°35'16"" O",,-33.591111,-71.587667,21.5 ºC,0/8,57.2 %,11.7 km/h,10 %,SE,W,Suave,KESTREL 5-52,24-dic-2025 18:37
incendio-estado-alerta-10,24-dic-2025 18:04,,Ñuble,147 - MONTE NEGRO,CONAF,Quillón,Controlado,0.46,,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=796577689,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=796577689,732027 E 5912776 S 18H,,"36°54'09"" S 72°23'45"" O",,-36.9025,-72.395833,27.3 ºC,0/8,41 %,8.5 km/h,%,,,,BC-LLEUQUE-12-26,24-dic-2025 19:03
,24-dic-2025 17:55,,Valparaíso,214 - FUNDO SEMINARIO 8,CONAF,El Quisco,Extinguido,1.8,,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=796571481,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=796571481,259879 E 6280178 S 19H,,"33°35'28"" S 71°35'15"" O",,-33.591111,-71.5875,20.9 ºC,0/8,62.9 %,7.5 km/h,0 %,Plano,SW,Suave,KESTREL P-10,24-dic-2025 18:17
,24-dic-2025 17:51,,Araucanía,265 - LLAHUELLIN,CONAF,Padre Las Casas,Extinguido,0.2,,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=796570536,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=796570536,710903 E 5705392 S 18H,,"38°46'30"" S 72°34'20"" O",,-38.775,-72.572222,20 ºC,2/8,53 %,3 km/h,10 %,W,W,Suave,kestrel,24-dic-2025 18:30
incendio-estado-alerta-30,24-dic-2025 17:44,,Maule,270 - VARA GRUESA,CONAF,Linares,En Combate,6.0,https://sidco.conaf.cl/admin/perimetro/descargar_todos_archivos.php?ince_id=796568075,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=796568075,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=796568075,270393 E 6032723 S 19H,,"35°49'22"" S 71°32'30"" O",,-35.822808,-71.541639,ºC,,%,km/h,%,,,,,
,24-dic-2025 16:47,,Biobío,227 - SAN RAMON,CONAF,Tirúa,Controlado,4.0,,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=796549566,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=796549566,640278 E 5777009 S 18H,,"38°08'38"" S 73°23'57"" O",,-38.143889,-73.399167,21.4 ºC,0/8,61.2 %,4.5 km/h,16 %,S,S,Irregular,kestrel,24-dic-2025 18:33
,24-dic-2025 16:43,,O'Higgins,161 - LAS PALMAS,CONAF,Chépica,Extinguido,0.09,,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=796549223,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=796549223,275826 E 6143631 S 19H,,"34°49'30"" S 71°27'04"" O",,-34.824939,-71.451186,30 ºC,0/8,28 %,4.5 km/h,30 %,E,S,Irregular,kit meteorologico 6b25,24-dic-2025 17:41
,24-dic-2025 16:36,,Araucanía,264 - SANTO DOMINGO,CONAF,Victoria,Extinguido,0.2,,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=796546834,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=796546834,739918 E 5767982 S 18H,,"38°12'15"" S 72°15'36"" O",,-38.204167,-72.26,ºC,,%,km/h,%,,,,,
incendio-estado-alerta-30,24-dic-2025 16:30,,Maule,269 - CHACARILLAS 2,CONAF,Maule,En Combate,35.0,,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=796544341,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=796544341,258346 E 6070266 S 19H,,"35°28'54"" S 71°39'49"" O",,-35.481778,-71.663611,30.1 ºC,6/8,29.7 %,4.1 km/h,0 %,Plano,S,Suave,KESTREL DE MAQUI-15,24-dic-2025 18:00
